happiness_rank,year,country,region,happiness_score,gdp_percapita,life_expectancy,family,freedom,generosity,government_corruption,total_pop,pop_density,age_pop
154,2015,Rwanda,Sub-Saharan Africa,3.465,0.22208,0.42864,0.7737,0.59201,0.22628,0.55191,11640022.0,480.79396943411814,18.254116208197
155,2015,Benin,Sub-Saharan Africa,3.34,0.28665,0.3191,0.35386,0.4845,0.1826,0.0801,11360681.0,100.75098439162824,17.0529909497656
156,2015,Syrian Arab Republic,Middle East and Northern Africa,3.006,0.6632,0.72193,0.47489,0.15684,0.47179,0.18906,19424618.0,105.73522399433892,18.4182585229937
157,2015,Burundi,Sub-Saharan Africa,2.905,0.0153,0.22396,0.41587,0.1185,0.19727,0.10062,11047580.0,425.72562620423895,15.4995446591535
158,2015,Togo,Sub-Saharan Africa,2.839,0.20868,0.28443,0.13995,0.36453,0.16681,0.10731,7663195.5,140.8934638720353,18.1828520000062
1,2016,Denmark,Western Europe,7.526,1.44178,0.79504,1.16374,0.57941,0.36171,0.44453,5728201.0,135.1182006887767,40.592704288874
2,2016,Switzerland,Western Europe,7.509,1.52733,0.86303,1.14524,0.58557,0.28083,0.41203,8374901.0,209.41440788157632,41.3168977155264
3,2016,Iceland,Western Europe,7.501,1.42666,0.86733,1.18326,0.56624,0.47678,0.14975,335573.5,3.3476003311951956,35.1793134152589
4,2016,Norway,Western Europe,7.498,1.57744,0.79579,1.1269,0.59609,0.37895,0.35776,5235983.0,17.21083339359555,38.2814242562411
5,2016,Finland,Western Europe,7.413,1.40598,0.81091,1.13464,0.57104,0.25492,0.41004,5495469.0,18.174109313146747,41.4973486491564
6,2016,Canada,North America,7.404,1.44015,0.8276,1.0961,0.5737,0.44834,0.31329,36353343.0,3.997725300041007,39.7329304626382
7,2016,Netherlands,Western Europe,7.339,1.46468,0.81231,1.02912,0.55211,0.47416,0.29927,17204693.0,510.96471741261024,41.3430258255435
8,2016,New Zealand,Australia and New Zealand,7.334,1.36066,0.83096,1.17278,0.58147,0.49401,0.41904,4714770.0,17.79809968177031,36.2519556554753
9,2016,Australia,Australia and New Zealand,7.313,1.44443,0.8512,1.10476,0.56837,0.47407,0.32331,24329963.0,3.1670154771357537,36.2468671074585
10,2016,Sweden,Western Europe,7.291,1.45181,0.83121,1.08764,0.58218,0.38254,0.40867,9923280.0,24.36117248490205,39.8682303440963
11,2016,Israel,Middle East and Northern Africa,7.267,1.33766,0.84917,0.99537,0.36432,0.32288,0.08728,8210005.499999999,379.3376842397079,28.8155347605812
12,2016,Austria,Western Europe,7.119,1.45038,0.80565,1.08383,0.54355,0.32865,0.21348,8737915.5,105.88974054460184,42.0068190722829
13,2016,United States,North America,7.104,1.50796,0.779,1.04782,0.48163,0.41077,0.14868,329179426.5,35.985359919270564,36.5088158525904
14,2016,Costa Rica,Latin America and Caribbean,7.087,1.06879,0.76146,1.02152,0.55225,0.22553,0.10547,4866997.5,95.31918331374852,30.6089482590021
15,2016,Puerto Rico,Latin America and Caribbean,7.039,1.35943,0.77758,1.08113,0.46823,0.22202,0.12275,3476007.5,399.90882420616657,40.8009729614108
16,2016,Germany,Western Europe,6.994,1.44787,0.81487,1.09774,0.53466,0.30452,0.28551,82760102.5,237.43430829699335,44.8162479691437
17,2016,Brazil,Latin America and Caribbean,6.952,1.08754,0.61415,1.03938,0.40425,0.15776,0.14166,203218113.5,24.31379631114099,30.9194682855721
18,2016,Belgium,Western Europe,6.929,1.42539,0.81959,1.05249,0.51354,0.2424,0.26248,11332700.5,374.2882786181386,40.4921738694819
19,2016,Ireland,Western Europe,6.907,1.48341,0.81455,1.16157,0.54008,0.44963,0.29754,4753503.0,69.52920268550616,35.7416973951962
20,2016,Luxembourg,Western Europe,6.871,1.69752,0.84542,1.03999,0.5487,0.27571,0.35329,583506.0,225.29189189189188,38.3392364338248
21,2016,Mexico,Latin America and Caribbean,6.778,1.11508,0.71143,0.7146,0.37709,0.11735,0.18355,122251350.5,62.3970781136436,26.5813046155169
22,2016,Singapore,Southeastern Asia,6.739,1.64555,0.94719,0.86758,0.4877,0.32706,0.46987,5577929.5,8166.807467057101,33.5288644606779
