happiness_rank,year,country,region,happiness_score,gdp_percapita,life_expectancy,family,freedom,generosity,government_corruption
85,2015,Zambia,Sub-Saharan Africa,5.129,0.47038,0.29924,0.91612,0.48827,0.19591,0.12468
86,2015,Romania,Central and Eastern Europe,5.124,1.04345,0.7689,0.88588,0.35068,0.13748,0.00649
87,2015,Serbia,Central and Eastern Europe,5.123,0.92053,0.74836,1.00964,0.20107,0.19231,0.02617
88,2015,Portugal,Western Europe,5.102,1.15991,0.87519,1.13935,0.51469,0.13719,0.01078
89,2015,Latvia,Central and Eastern Europe,5.098,1.11312,0.72437,1.09562,0.29671,0.18226,0.06332
90,2015,Philippines,Southeastern Asia,5.073,0.70532,0.58114,1.03516,0.62545,0.24991,0.12279
91,2015,Somaliland region,Sub-Saharan Africa,5.057,0.18847,0.43873,0.95152,0.46582,0.50318,0.39928
92,2015,Morocco,Middle East and Northern Africa,5.013,0.73479,0.60954,0.64095,0.41691,0.07172,0.08546
93,2015,Macedonia,Central and Eastern Europe,5.007,0.91851,0.73545,1.00232,0.33457,0.22359,0.05327
94,2015,Mozambique,Sub-Saharan Africa,4.971,0.08308,0.09131,1.02626,0.34037,0.22269,0.15603
95,2015,Albania,Central and Eastern Europe,4.959,0.87867,0.81325,0.80434,0.35733,0.14272,0.06413
96,2015,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.83223,0.79081,0.91916,0.09245,0.24808,0.00227
97,2015,Lesotho,Sub-Saharan Africa,4.898,0.37545,0.07612,1.04103,0.31767,0.16388,0.12504
98,2015,Dominican Republic,Latin America and Caribbean,4.885,0.89537,0.66825,1.17202,0.57672,0.21684,0.14234
99,2015,Lao People's Democratic Republic,Southeastern Asia,4.876,0.59066,0.54909,0.73803,0.59591,0.42192,0.24249
100,2015,Mongolia,Eastern Asia,4.874,0.82819,0.60268,1.3006,0.43626,0.3323,0.02666
101,2015,Swaziland,Sub-Saharan Africa,4.867,0.71206,0.07566,1.07284,0.30658,0.18259,0.0306
102,2015,Greece,Western Europe,4.857,1.15406,0.88213,0.92933,0.07699,0.0,0.01397
103,2015,Lebanon,Middle East and Northern Africa,4.839,1.02564,0.83947,0.80001,0.33916,0.21854,0.04582
104,2015,Hungary,Central and Eastern Europe,4.8,1.12094,0.75905,1.20215,0.32112,0.128,0.02758
105,2015,Honduras,Latin America and Caribbean,4.788,0.59532,0.6951,0.95348,0.40148,0.23027,0.06825
106,2015,Tajikistan,Central and Eastern Europe,4.786,0.39047,0.57379,0.85563,0.47216,0.22974,0.15072
107,2015,Tunisia,Middle East and Northern Africa,4.739,0.88113,0.73793,0.60429,0.26268,0.06431,0.06358
108,2015,Palestinian Territories,Middle East and Northern Africa,4.715,0.59867,0.66015,0.92558,0.24499,0.11251,0.12905
109,2015,Bangladesh,Southern Asia,4.694,0.39753,0.60164,0.43106,0.4082,0.21222,0.12569
110,2015,"Iran, Islamic Republic of",Middle East and Northern Africa,4.686,1.0088,0.69805,0.54447,0.30033,0.38086,0.05863
111,2015,Ukraine,Central and Eastern Europe,4.681,0.79907,0.6739,1.20278,0.25123,0.15275,0.02961
112,2015,Iraq,Middle East and Northern Africa,4.677,0.98549,0.60237,0.81889,0.0,0.17922,0.13788
113,2015,South Africa,Sub-Saharan Africa,4.642,0.92049,0.27688,1.18468,0.33207,0.11973,0.08884
114,2015,Ghana,Sub-Saharan Africa,4.633,0.54558,0.40132,0.67954,0.42342,0.23087,0.04355
115,2015,Zimbabwe,Sub-Saharan Africa,4.61,0.271,0.33475,1.03276,0.25861,0.18987,0.08079
116,2015,Liberia,Sub-Saharan Africa,4.571,0.0712,0.34201,0.78968,0.28531,0.24362,0.06232
117,2015,India,Southern Asia,4.565,0.64499,0.51529,0.38174,0.39786,0.26475,0.08492
118,2015,Sudan,Sub-Saharan Africa,4.55,0.52107,0.36878,1.01404,0.10081,0.19062,0.1466
119,2015,Haiti,Latin America and Caribbean,4.518,0.26673,0.38847,0.74302,0.24425,0.46187,0.17175
120,2015,Congo (Kinshasa),Sub-Saharan Africa,4.517,0.0,0.09806,1.0012,0.22605,0.24834,0.07625
121,2015,Nepal,Southern Asia,4.514,0.35997,0.56874,0.86449,0.38282,0.32296,0.05907
122,2015,Ethiopia,Sub-Saharan Africa,4.512,0.19073,0.44055,0.60406,0.4345,0.24325,0.15048
123,2015,Sierra Leone,Sub-Saharan Africa,4.507,0.33024,0.0,0.95571,0.4084,0.21488,0.08786
124,2015,Mauritania,Sub-Saharan Africa,4.436,0.45407,0.35874,0.86908,0.24232,0.219,0.17461
125,2015,Kenya,Sub-Saharan Africa,4.419,0.36471,0.41435,0.99876,0.42215,0.37542,0.05839
126,2015,Djibouti,Sub-Saharan Africa,4.369,0.44025,0.36291,0.59207,0.46074,0.18093,0.28105
127,2015,Armenia,Central and Eastern Europe,4.35,0.76821,0.7299,0.77711,0.19847,0.07855,0.039
128,2015,Botswana,Sub-Saharan Africa,4.332,0.99355,0.04776,1.10464,0.49495,0.10461,0.12474
129,2015,Myanmar,Southeastern Asia,4.307,0.27108,0.48246,0.70905,0.44017,0.79588,0.19034
130,2015,Georgia,Central and Eastern Europe,4.297,0.7419,0.72926,0.38562,0.40577,0.05547,0.38331
131,2015,Malawi,Sub-Saharan Africa,4.292,0.01604,0.22562,0.41134,0.43054,0.33128,0.06977
132,2015,Sri Lanka,Southern Asia,4.271,0.83524,0.70806,1.01905,0.53726,0.40828,0.09179
133,2015,Cameroon,Sub-Saharan Africa,4.252,0.4225,0.23402,0.88767,0.49309,0.20618,0.05786
134,2015,Bulgaria,Central and Eastern Europe,4.218,1.01216,0.76649,1.10614,0.30587,0.11921,0.00872
135,2015,Egypt,Middle East and Northern Africa,4.194,0.8818,0.61712,0.747,0.17288,0.11291,0.06324
136,2015,Yemen,Middle East and Northern Africa,4.077,0.54649,0.40064,0.68093,0.35571,0.09131,0.07854
137,2015,Angola,Sub-Saharan Africa,4.033,0.75778,0.16683,0.8604,0.10384,0.12344,0.07122
138,2015,Mali,Sub-Saharan Africa,3.995,0.26074,0.20583,1.03526,0.38857,0.18798,0.12352
139,2015,Congo (Brazzaville),Sub-Saharan Africa,3.989,0.67866,0.31051,0.6629,0.41466,0.12388,0.11686
140,2015,Comoros,Sub-Saharan Africa,3.956,0.23906,0.36315,0.79273,0.22917,0.17441,0.199
141,2015,Uganda,Sub-Saharan Africa,3.931,0.21102,0.33861,1.13299,0.45727,0.29066,0.07267
142,2015,Senegal,Sub-Saharan Africa,3.904,0.36498,0.4354,0.97619,0.36772,0.20843,0.10713
143,2015,Gabon,Sub-Saharan Africa,3.896,1.06024,0.43372,0.90528,0.31914,0.06822,0.11091
144,2015,Niger,Sub-Saharan Africa,3.845,0.0694,0.29707,0.77265,0.47692,0.19387,0.15639
145,2015,Cambodia,Southeastern Asia,3.819,0.46038,0.61114,0.62736,0.66246,0.40359,0.07247
146,2015,"Tanzania, United Republic of",Sub-Saharan Africa,3.781,0.2852,0.38215,1.00268,0.32878,0.34377,0.05747
147,2015,Madagascar,Sub-Saharan Africa,3.681,0.20824,0.46721,0.66801,0.19184,0.21333,0.08124
148,2015,Central African Republic,Sub-Saharan Africa,3.678,0.0785,0.06699,0.0,0.48879,0.23835,0.08289
149,2015,Chad,Sub-Saharan Africa,3.667,0.34193,0.1501,0.76062,0.23501,0.18386,0.05269
150,2015,Guinea,Sub-Saharan Africa,3.656,0.17417,0.24009,0.46475,0.37725,0.28657,0.12139
151,2015,Ivory Coast,Sub-Saharan Africa,3.655,0.46534,0.15185,0.77115,0.46866,0.20165,0.17922
152,2015,Burkina Faso,Sub-Saharan Africa,3.587,0.25812,0.27125,0.85188,0.39493,0.21747,0.12832
153,2015,Afghanistan,Southern Asia,3.575,0.31982,0.30335,0.30285,0.23414,0.3651,0.09719
154,2015,Rwanda,Sub-Saharan Africa,3.465,0.22208,0.42864,0.7737,0.59201,0.22628,0.55191
155,2015,Benin,Sub-Saharan Africa,3.34,0.28665,0.3191,0.35386,0.4845,0.1826,0.0801
156,2015,Syrian Arab Republic,Middle East and Northern Africa,3.006,0.6632,0.72193,0.47489,0.15684,0.47179,0.18906
157,2015,Burundi,Sub-Saharan Africa,2.905,0.0153,0.22396,0.41587,0.1185,0.19727,0.10062
158,2015,Togo,Sub-Saharan Africa,2.839,0.20868,0.28443,0.13995,0.36453,0.16681,0.10731
1,2016,Denmark,Western Europe,7.526,1.44178,0.79504,1.16374,0.57941,0.36171,0.44453
2,2016,Switzerland,Western Europe,7.509,1.52733,0.86303,1.14524,0.58557,0.28083,0.41203
3,2016,Iceland,Western Europe,7.501,1.42666,0.86733,1.18326,0.56624,0.47678,0.14975
4,2016,Norway,Western Europe,7.498,1.57744,0.79579,1.1269,0.59609,0.37895,0.35776
5,2016,Finland,Western Europe,7.413,1.40598,0.81091,1.13464,0.57104,0.25492,0.41004
6,2016,Canada,North America,7.404,1.44015,0.8276,1.0961,0.5737,0.44834,0.31329
7,2016,Netherlands,Western Europe,7.339,1.46468,0.81231,1.02912,0.55211,0.47416,0.29927
8,2016,New Zealand,Australia and New Zealand,7.334,1.36066,0.83096,1.17278,0.58147,0.49401,0.41904
9,2016,Australia,Australia and New Zealand,7.313,1.44443,0.8512,1.10476,0.56837,0.47407,0.32331
