year_country_id,country_id,year_id,total_pop,pop_density,age_pop
245,96,2,3473003.0,67.83606461316093,41.7231669011358
246,83,2,624248.5,45.19609759629308,37.1676932667422
247,98,2,10551429.5,218.4063567303513,25.4477461362579
248,92,2,35023457.5,78.47514564194488,26.7844015386966
249,104,2,9810532.0,108.3677454987297,41.0608608036819
250,81,2,220138868.5,285.5682706776671,19.3116062106895
251,103,2,6323059.5,618.0898826979472,28.4378191885363
252,88,2,10346372.0,112.478904169158,43.2839081513065
253,93,2,1961259.5,78.72434070565568,37.3317298385063
254,75,2,94000116.5,299.9279424011435,29.5173648653318
255,162,2,14348740.0,22.872349921892436,15.0365551437659
256,107,2,11528673.5,74.17276909219585,29.7273405954488
257,102,2,10775504.0,82.36893441369821,43.0771363629634
258,106,2,8865631.0,61.95409503843466,20.8476085963752
259,100,2,3040812.0,1.95241614396765,25.9068031274906
260,99,2,6908802.5,29.93415294627383,22.2495783327535
261,78,2,195443700.0,214.59171909483183,16.7138924958719
262,105,2,9412380.0,86.29352549645195,21.2399809216501
263,110,2,83812228.0,51.45800644666155,29.2365366359867
264,85,2,16914423.0,22.753094607137573,16.2626885990335
265,121,2,27955462.0,189.93933999633103,21.5148951477503
266,108,2,4632739.0,769.5579734219269,18.7879194988661
267,95,2,2897866.5,105.76927147967004,33.593737856253
268,109,2,160811932.5,1235.3993431666283,23.7742264450105
269,123,2,7205328.5,100.43669500975746,17.8305369098282
270,112,2,38469627.0,88.61355867393948,18.6802717139827
271,163,2,2439213.0,2.9627628174762233,20.5233939240288
272,133,2,23454161.5,50.32541894646497,17.2489637208485
273,122,2,106718162.0,106.718162,17.2541215301749
274,113,2,57259551.0,46.90280247671019,25.6935622413755
275,132,2,21910772.5,349.42624192648117,31.0147751994465
276,117,2,1343944296.0,452.02099294024265,25.613151815292
277,129,2,51495696.0,78.825171057264,27.6313519280085
278,135,2,101644589.0,102.10918579536892,22.9587313216081
279,127,2,2918792.5,102.54330030916245,33.0669361884418
280,125,2,48139687.0,82.89541231006599,17.8500836093933
281,111,2,45616832.0,78.74202858523786,39.5164928172881
282,114,2,29356741.5,129.0179375054935,19.879449472604
283,120,2,83956415.0,37.033331862993755,15.8418219912526
284,130,2,3792057.0,54.569822996114546,36.0892764476079
285,139,2,5222536.0,15.292931185944363,18.1444670724731
286,142,2,15034520.5,78.08923544382694,17.6422325152898
287,134,2,7127434.0,65.7536624967711,42.7532849131521
288,124,2,4086656.5,3.9649330552052,16.7002570484931
289,115,2,14600294.0,37.74148636422386,16.7720390555199
290,131,2,17557739.0,185.6939990692952,16.1386425634752
291,118,2,41259892.0,23.37606830115699,16.977692744957
292,143,2,2100306.0,8.151146815694492,21.3312512762301
293,138,2,19191289.5,15.72811570329211,14.8846120091472
294,119,2,10671457.0,387.0817584968624,21.7506980267285
295,128,2,2234775.5,3.943280750974891,21.7189114708903
296,140,2,741741.0,398.57119828049434,18.8610946950634
297,151,2,25989404.5,81.72768710691824,17.842347335729
298,145,2,15852803.0,87.56761399729334,23.5950661631381
299,137,2,29183070.0,23.408253790005613,16.2789861591425
300,144,2,20685753.5,16.330428278203204,14.4169379752513
301,164,2,10830102.0,19.196998702486542,16.9624419439277
302,149,2,15114655.0,12.0033791296061,14.6473520683833
303,152,2,19334855.5,70.66833150584796,16.0964592021076
304,141,2,38799152.0,194.18314673660083,14.9702735231886
305,136,2,32109010.0,60.81597439248442,17.7734213612541
306,147,2,26099952.0,44.861079933653606,17.6693476699749
307,146,2,53824013.0,60.762960838922425,16.5481623156395
308,116,2,4755608.0,49.37300664451827,17.5944437810452
309,150,2,12073030.0,49.13328178414456,17.0221084599274
310,154,2,11919183.0,492.32478314745975,18.3877891878414
311,155,2,11697841.5,103.74105622561191,17.1096177296206
312,153,2,34700612.0,53.44344027993396,15.680542950693
313,158,2,7858289.0,144.48040080897223,18.2257304589297
314,156,2,19193833.5,104.47898045833108,18.3575455817701
315,157,2,11239451.0,433.1194990366089,15.1230859910022
316,4,3,5276802.5,17.345008316185993,38.4092762397262
317,3,3,5765168.0,135.99018729065435,40.7240616726529
318,2,3,343531.5,3.4269874205680195,35.3061439796745
319,1,3,8453628.0,211.38297659531904,41.3842126986486
320,6,3,5508396.0,18.216860297838146,41.591969654415
321,7,3,17315370.0,514.2517299753497,41.4134611386503
322,5,3,36808496.5,4.0477778815148,39.7702684170451
323,9,3,4812751.5,18.16797658010668,36.1812555833534
324,8,3,10057861.5,24.691563558697897,39.7159777376753
325,10,3,24731038.5,3.219223214401937,36.2682490182939
326,11,3,8361796.5,386.3510834911981,28.8573700990815
327,12,3,4913177.0,96.22359968664315,31.0707740876842
328,13,3,8798777.5,106.62729189641172,42.1147014848718
329,15,3,332204659.5,36.31607347419152,36.64973273458
330,18,3,4810260.5,70.35939122676145,36.1300199250485
331,26,3,83104007.0,238.4209519164563,44.8888316122982
